,id,training_data_type,question,content
0,8618379-ddl,ddl,,"CREATE VIEW AccountTransactionHistory AS SELECT     t.TransactionID,          acc.AccountType,     a.AssetID,     t.Date,     t.Type AS TransactionType,     t.Amount,     a.CurrentValue FROM     Transactions t JOIN     Accounts acc ON t.AccountID = acc.AccountID JOIN     Assets a ON t.AssetID = a.AssetID ;"
1,3379434-doc,documentation,,"The following columns are in the Clients table in the asset-management database:

|    | TABLE_CATALOG    | TABLE_SCHEMA   | TABLE_NAME   | COLUMN_NAME   | DATA_TYPE   |
|---:|:-----------------|:---------------|:-------------|:--------------|:------------|
|  3 | asset-management | dbo            | Clients      | ClientID      | int         |
|  4 | asset-management | dbo            | Clients      | Name          | nvarchar    |
|  5 | asset-management | dbo            | Clients      | ContactInfo   | nvarchar    |
|  6 | asset-management | dbo            | Clients      | AdvisorID     | int         |
|  7 | asset-management | dbo            | Clients      | RiskProfile   | nvarchar    |"
2,3379462-doc,documentation,,"The following columns are in the OverallWealthSummary table in the asset-management database:

|    | TABLE_CATALOG    | TABLE_SCHEMA   | TABLE_NAME           | COLUMN_NAME    | DATA_TYPE   |
|---:|:-----------------|:---------------|:---------------------|:---------------|:------------|
| 56 | asset-management | dbo            | OverallWealthSummary | AssetType      | nvarchar    |
| 57 | asset-management | dbo            | OverallWealthSummary | NumberOfAssets | int         |
| 58 | asset-management | dbo            | OverallWealthSummary | TotalWealth    | decimal     |"
3,8618713-ddl,ddl,,"CREATE VIEW ClientPortfolioValue AS SELECT     c.ClientID,     c.Name AS ClientName,     SUM(pa.Allocation * a.CurrentValue / 100.0) AS TotalPortfolioValue FROM     Clients c JOIN     Portfolios p ON c.ClientID = p.ClientID JOIN     PortfolioAssets pa ON p.PortfolioID = pa.PortfolioID JOIN     Assets a ON pa.AssetID = a.AssetID GROUP BY     c.ClientID, c.Name;"
4,8618375-ddl,ddl,,"CREATE VIEW PortfolioSummary AS SELECT     p.PortfolioID,     p.Name AS PortfolioName,     c.ClientID,     c.Name AS ClientName,     SUM(pa.Allocation * a.CurrentValue / 100.0) AS TotalPortfolioValue,     COUNT(DISTINCT pa.AssetID) AS NumberOfAssets FROM     Portfolios p JOIN     Clients c ON p.ClientID = c.ClientID JOIN     PortfolioAssets pa ON p.PortfolioID = pa.PortfolioID JOIN     Assets a ON pa.AssetID = a.AssetID GROUP BY     p.PortfolioID, p.Name, c.ClientID, c.Name;"
5,3379419-doc,documentation,,"The following columns are in the Advisors table in the asset-management database:

|    | TABLE_CATALOG    | TABLE_SCHEMA   | TABLE_NAME   | COLUMN_NAME   | DATA_TYPE   |
|---:|:-----------------|:---------------|:-------------|:--------------|:------------|
|  0 | asset-management | dbo            | Advisors     | AdvisorID     | int         |
|  1 | asset-management | dbo            | Advisors     | Name          | nvarchar    |
|  2 | asset-management | dbo            | Advisors     | ContactInfo   | nvarchar    |"
6,3379442-doc,documentation,,"The following columns are in the ClientPortfolioValue table in the asset-management database:

|    | TABLE_CATALOG    | TABLE_SCHEMA   | TABLE_NAME           | COLUMN_NAME         | DATA_TYPE   |
|---:|:-----------------|:---------------|:---------------------|:--------------------|:------------|
| 40 | asset-management | dbo            | ClientPortfolioValue | ClientID            | int         |
| 41 | asset-management | dbo            | ClientPortfolioValue | ClientName          | nvarchar    |
| 42 | asset-management | dbo            | ClientPortfolioValue | TotalPortfolioValue | numeric     |"
7,8664892-ddl,ddl,,"CREATE TABLE Accounts (     AccountID INT IDENTITY(1,1) PRIMARY KEY,     AccountType NVARCHAR(50) NOT NULL,     ClientID INT,     FOREIGN KEY (ClientID) REFERENCES Clients(ClientID) );"
8,3379440-doc,documentation,,"The following columns are in the Projections table in the asset-management database:

|    | TABLE_CATALOG    | TABLE_SCHEMA   | TABLE_NAME   | COLUMN_NAME    | DATA_TYPE   |
|---:|:-----------------|:---------------|:-------------|:---------------|:------------|
| 29 | asset-management | dbo            | Projections  | ProjectionID   | int         |
| 30 | asset-management | dbo            | Projections  | PortfolioID    | int         |
| 31 | asset-management | dbo            | Projections  | FutureValue    | decimal     |
| 32 | asset-management | dbo            | Projections  | ProjectionDate | datetime    |"
9,8664893-ddl,ddl,,"CREATE TABLE Assets (     AssetID INT IDENTITY(1,1) PRIMARY KEY,     Name NVARCHAR(100) NOT NULL,     AssetType NVARCHAR(50),     CurrentValue DECIMAL(18, 2) );"
